id,name,fullName,insCode,stockType,instrumentId,cisin,lSecVal,cSecVal,created_date,cSecValReal,Holding
653,وزمین,بانک ایران زمین,2.00E+16,309,IRO7ZMNP0001,IRO7ZMNP0005,بانكها و موسسات اعتباري,57,2023-08-31T05:42:02.323Z,57,0
655,وسرمد,بیمه  سرمد,4.33E+16,309,IRO7SRMP0001,IRO7SRMP0000,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66,2023-08-31T05:42:02.438Z,66,0
659,زگلدشت,کشت و دام گلدشت نمونه اصفهان,1.00E+16,303,IRO3GDSZ0001,IRO3GDSZ0006,زراعت و خدمات وابسته,1,2023-08-31T05:42:02.762Z,1,0
663,گلدیرا,صنایع گلدیران,5.47E+16,303,IRO3GOIZ0001,IRO3GOIZ0005,ماشين آلات و تجهيزات,29,2023-08-31T05:42:03.033Z,29,0
665,بوعلی2,پتروشیمی بوعلی سینا,2.45E+16,300,IRO1BONA0002,IRO1BONA0004,محصولات شيميايي,44,2023-08-31T05:42:03.159Z,44,0
667,دشیری,شیرین دارو,6.31E+16,309,IRO7DSHP0001,IRO7DSHP0003,مواد و محصولات دارويي,43,2023-08-31T05:42:03.287Z,43,0
679,خعمرا,توسعه و عمران شهرستان نائین,6.43E+15,309,IRO7TONP0001,IRO7TONP0001,خودرو و ساخت قطعات,34,2023-08-31T05:42:04.060Z,34,0
681,وثنو,سرمایه گذاری ساختمانی نوین,4.50E+16,309,IRO7SNOP0001,IRO7SNOP0002,سرمايه گذاريها,56,2023-08-31T05:42:04.188Z,56,0
683,مارون,پتروشیمی مارون,5.34E+16,303,IRO3PMRZ0001,IRO3PMRZ0005,محصولات شيميايي,44,2023-08-31T05:42:04.308Z,44,0
685,خپویش,سازه‌ پویش‌,4.76E+15,300,IRO1SZPO0001,IRO1SZPO0004,خودرو و ساخت قطعات,34,2023-08-31T05:42:04.431Z,34,0
687,غبهار,کشت وصنعت بهاران گلبهار خراسان,7.17E+16,309,IRO7GKHP0001,IRO7GKHP0008,محصولات غذايي و آشاميدني به جز قند و شكر,42,2023-08-31T05:42:04.547Z,42,0
689,ساربیل,سیمان آرتا اردبیل,3.49E+16,300,IRO1SADB0001,IRO1SADB0002,"سيمان، آهك و گچ",53,2023-08-31T05:42:04.660Z,53,0
697,تکیمیا,تامین سرمایه کیمیا,6.66E+16,309,IRO7KYIZ0001,IRO7KYIZ0003,فعاليتهاي كمكي به نهادهاي مالي واسط,67,2023-08-31T05:42:05.137Z,67,0
699,بخاور,بیمه زندگی خاورمیانه,5.60E+15,303,IRO3MLIZ0001,IRO3MLIZ0000,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66,2023-08-31T05:42:05.291Z,66,0
